D_rate	nZeros	maxflux	minflux	meanflux	medianflux	stddev	fermentation	glyc_meanFlux	oxPhos_meanFlux	TCA_meanFlux	PPP_meanFlux
0.235	116	26.2989048701238	9.28602619956753e-06	3.05209482201948	1.55319154373209	5.37782357104453	0	2.74421879658739	17.6980693400437	1.4433081510686	0.398143548024995
0.24	116	26.9178601885289	9.49240251632566e-06	3.1232078248334	1.58995093469063	5.50421465344624	0	2.8064017017226	18.1144218182259	1.47782479240011	0.406614684533152
0.245	116	27.5403253897878	9.69929885713539e-06	3.19468566541263	1.62692969350087	5.63130549806586	0	2.86880884972594	18.5331257424521	1.51256642615558	0.41508582087519
0.25	116	28.1663004739004	9.90671523036502e-06	3.26652834375717	1.66412782016281	5.75909630712599	0	2.93144024059738	18.9541811127221	1.547533052335	0.423556957051107
0.255	116	28.7957854408669	1.01146516192085e-05	3.33873585986702	1.70154531467646	5.88758728348754	0	2.99429587433695	19.3775879290361	1.58272467093839	0.432028093060908
0.26	116	29.4287802906872	1.0323108030702e-05	3.41130821374217	1.7391821770418	6.01677863034585	0	3.05737575094464	19.8033461913939	1.61814128196573	0.44049922890459
0.265	116	30.0652850233612	1.05320844667189e-05	3.48424540538264	1.77703840725886	6.14667055096429	0	3.12067987042045	20.2314558997956	1.65378288541703	0.448970364582154
0.27	116	30.705299638889	1.07415809280642e-05	3.55754743478841	1.81511400532762	6.27726324844046	0	3.18420823276437	20.6619170542412	1.68964948129229	0.457441500093598
0.275	116	31.3488241372707	1.09515974125729e-05	3.6312143019595	1.85340897124808	6.40855692550088	0	3.24796083797642	21.0947296547308	1.72574106959151	0.465912635438922
0.28	115	31.5803279468785	1.54864625239171e-05	3.66237658822199	1.83997584061381	6.44126430509286	0	3.51953210117298	21.2668063161357	1.70328858370571	0.364029864108866
0.285	112	30.8882677424185	7.37904284608959e-06	3.6398512093261	1.3555553107534	6.24233986707855	1	4.14159356739587	20.8175348956407	1.62135300591023	0.291191872067058
0.29	112	30.2937689381114	7.9774350645323e-06	3.71735017877135	1.79252860741029	6.14320213314081	1	4.5664555601301	20.420898513942	1.57830113794303	0.299663074500983
0.295	112	29.5633990700523	8.70618552406555e-06	3.81298925837299	1.8513900654995	6.0340442123017	1	5.08971312395576	19.9332353196006	1.52653954629176	0.308134276934908
0.3	112	28.8372751727356	9.43086220850375e-06	3.90806145953224	1.78219793523715	5.9410575619208	1	5.60989582618477	19.4484167131544	1.47505013350566	0.316605479368833
0.305	112	28.115397246161	1.01514652051105e-05	4.0025667822491	1.71335963586998	5.86469450184336	1	6.12700366681719	18.9664426946032	1.42383289958467	0.325076681802758
0.31	112	27.3977652903288	1.08679945234336e-05	4.09650522652358	1.64487516739801	5.805292836594	1	6.64103664585297	18.4873132639472	1.37288784452881	0.333547884236683
0.315	112	26.6843793052388	1.15804501461536e-05	4.18987679235567	1.57674452982122	5.76305845907017	1	7.15199476329218	18.0110284211862	1.32221496833808	0.342019086670608
0.32	112	25.975239290891	1.22888320934766e-05	4.28268147974537	1.50896772313961	5.73805242329259	1	7.65987801913478	17.5375881663203	1.27181427101246	0.350490289104533
0.325	112	25.2703452472855	1.29931403496375e-05	4.37491928869269	1.44154474735319	5.73018378204922	1	8.16468641338077	17.0669924993495	1.22168575255197	0.358961491538458
0.33	112	24.5696971744222	1.36933749306234e-05	4.46659021919761	1.37447560246195	5.73920898637316	1	8.66641994603015	16.5992414202737	1.1718294129566	0.367432693972383
0.335	112	23.8732950723011	1.43895357808121e-05	4.55769427126016	1.30776028846591	5.76473800060173	1	9.16507861708296	16.134334929093	1.12224525222637	0.375903896406308
0.34	112	23.1811389409225	1.50816229046447e-05	4.64823144488032	1.24139880536506	5.80624660914712	1	9.66066242653911	15.6722730258075	1.07293327036128	0.384375098840233
