D_rate	nZeros	maxUsage	minUsage	meanUsage	medianUsage	stddev	fermentation	glyc_meanUsage	oxPhos_meanUsage	TCA_meanUsage	PPP_meanUsage	ana_meanUsage	glyc_burden	oxPhos_burden	TCA_burden	PPP_burden	ana_burden
0.125	47	0.00102449236240681	7.68573679698642e-07	0.000204407893536873	0.00011519611248164	0.000226776397303634	0	0.000149654377542512	0.000267361331763798	0.000167643404279014	9.06379641295672e-05	2.97699656147102e-05	0.00149654377542512	0.0104270919387881	0.00217936425562718	0.00063446574890697	5.95399312294203e-05
0.13	47	0.00106536326541615	7.992605266658e-07	0.000212569501576151	0.000119804051284267	0.000235828986518403	0	0.000155634730639264	0.000278034961506602	0.000174332979359658	9.42641548805056e-05	3.09670940225196e-05	0.00155634730639264	0.0108433634987575	0.00226632873167556	0.000659849084163539	6.19341880450392e-05
0.135	47	0.00110658568311205	8.30133548909312e-07	0.00022077975761761	0.000124422889048759	0.000244942537653599	0	0.00016163583318061	0.000288776424582697	0.000181073729510456	9.78901555121145e-05	3.21544282082852e-05	0.0016163583318061	0.0112622805587252	0.00235395848363593	0.000685231088584802	6.43088564165704e-05
0.14	47	0.00114813484023941	8.61192746429179e-07	0.00022904039500969	0.000129041487589947	0.000254116221639983	0	0.000167661401454814	0.000299588894873179	0.000187868281471029	0.000101513422186231	3.33483148617256e-05	0.00167661401454814	0.011683966900054	0.00244228765912338	0.000710593955303617	6.66966297234513e-05
0.145	47	0.00119001876187435	8.92438119225401e-07	0.000237350088922649	0.000133675837432911	0.000263351633766184	0	0.000173714029309479	0.000310470604027284	0.000194706335589563	0.000105139518240658	3.4539254018532e-05	0.00173714029309479	0.0121083535570641	0.00253118236266432	0.000735976627684607	6.9078508037064e-05
0.15	47	0.00123222591135975	9.23869667297976e-07	0.000245710755028451	0.000138324911676082	0.000272644946125665	0	0.000179788968616472	0.000321420456705725	0.000201603179608575	0.000108766698551527	3.5736065003143e-05	0.00179788968616472	0.0125353978115233	0.00262084133491147	0.000761366889860691	7.1472130006286e-05
0.155	47	0.00127478281527457	9.55487390646907e-07	0.000254120003350125	0.000142977506774887	0.000282000818579119	0	0.000185880923566828	0.000332442368151674	0.000208548024434175	0.000112393197623208	3.69285711725554e-05	0.00185880923566828	0.0129652523579153	0.00271112431764427	0.000786752383362453	7.38571423451109e-05
0.16	47	0.00131765575962078	9.87291289272191e-07	0.000262575632508821	0.000147631557042659	0.000291417350055838	0	0.000192005048946033	0.000343526199723744	0.00021553813058057	0.000116014228702927	3.81157456251999e-05	0.00192005048946033	0.013397521789226	0.00280199569754741	0.000812099600920489	7.62314912503997e-05
0.165	47	0.00136089242769966	1.01928136317383e-06	0.000271085740014679	0.000152306659863188	0.000300893996357903	0	0.000198150465684744	0.000354686559328708	0.000222585359155801	0.000119646282566596	3.93073929947355e-05	0.00198150465684744	0.0138327758138196	0.00289360966902542	0.000837523977966173	7.8614785989471e-05
0.17	47	0.00140443416996219	1.05145761235182e-06	0.0002796424227225	0.000156991570099551	0.000310430967005192	0	0.000204318348374664	0.000365912411738103	0.000229682397062804	0.000123266626469331	4.04923037948256e-05	0.00204318348374664	0.014270584057786	0.00298587116181646	0.000862866385285316	8.09846075896512e-05
0.175	47	0.00144832946918479	1.08382003680617e-06	0.000288250298038885	0.000161685195490776	0.000320028939740186	0	0.000210510135148855	0.000377208988707329	0.000236831529581182	0.000126892595737802	4.1692481415863e-05	0.00210510135148855	0.0147111505595858	0.00307880988455537	0.000888248170164616	8.33849628317259e-05
0.18	47	0.00149256111452562	1.11636863653688e-06	0.000296907739896655	0.000166386431892357	0.000329689487918284	0	0.000216729906895334	0.000388574851556357	0.00024402795209039	0.000130520120378088	4.28733061478524e-05	0.00216729906895334	0.0151544192106979	0.00317236337717508	0.000913640842646615	8.57466122957047e-05
0.185	47	0.00153710918050568	1.14910341154393e-06	0.000305612303840564	0.000171094163276265	0.000339406008095179	0	0.000222967625154408	0.000400007097772767	0.000251273747145908	0.000134148218330028	4.40693382831476e-05	0.00222967625154408	0.0156002768131379	0.00326655871289681	0.000939037528310199	8.81386765662952e-05
0.19	47	0.00158200128630611	1.18202436182734e-06	0.000314367866968878	0.00017581983645819	0.00034918836219621	0	0.000229232247940083	0.000411511496088154	0.000258571214653223	0.000137765119009938	4.52564433852831e-05	0.00229232247940083	0.016048948347438	0.0033614257904919	0.000964355833069564	9.05128867705662e-05
0.195	47	0.00162721618477994	1.21513148738711e-06	0.000323172621575567	0.00018055044132272	0.000359028268922225	0	0.000235520921503199	0.000423082532295043	0.000265920886156309	0.000141398461590055	4.64593889964816e-05	0.00235520921503199	0.0165002187595067	0.00345697152003202	0.000989789231130384	9.29187779929631e-05
0.2	47	0.00167278296730098	1.24842478822323e-06	0.000332027537180437	0.000185284832133003	0.000368929634198505	0	0.000241830506370655	0.000434726983756371	0.000273317168938573	0.000145018389457529	4.76393586740077e-05	0.00241830506370655	0.0169543523664985	0.00355312319620146	0.00101512872620271	9.52787173480154e-05
0.205	47	0.00171867904920958	1.2819042643357e-06	0.000340931644263681	0.000190021851268656	0.000378891683043378	0	0.000248163028295985	0.000446436972171232	0.000280770602577293	0.00014864634554531	4.88350975594272e-05	0.00248163028295985	0.0174110419146781	0.0036500178335048	0.00104052441881717	9.76701951188544e-05
0.21	47	0.00176490701906764	1.31556991572453e-06	0.000349885265998569	0.000194788320075044	0.000388914637657526	0	0.000254523591503718	0.000458215226560515	0.000288273450354794	0.000152270220032797	5.0019647646803e-05	0.00254523591503718	0.0178703938358601	0.00374755485461232	0.00106589154022958	0.000100039295293606
0.215	47	0.00181146948920414	1.34942174238972e-06	0.000358889479051384	0.000199556506818718	0.000398999129957862	0	0.000260912129446096	0.000470066978150945	0.000295821515323484	0.000155893074725679	5.12062484585545e-05	0.00260912129446096	0.0183326121478869	0.00384567969920529	0.00109125152307975	0.000102412496917109
0.22	47	0.0018583690957151	1.38345974433126e-06	0.000367941789306117	0.000204339947769098	0.000409144022733958	0	0.000267313857918508	0.000481982883693645	0.000303426006478885	0.000159526785169285	5.24095760591872e-05	0.00267313857918508	0.0187973324640522	0.00394453808422551	0.001116687496185	0.000104819152118374
0.225	47	0.0019056084984636	1.41768392154915e-06	0.000377042842069496	0.0002091083784285	0.000419347379291877	0	0.000273742699856064	0.000493968875794375	0.000311078368841399	0.000163141377719911	5.36005176296348e-05	0.00273742699856064	0.0192647861559806	0.00404401879493818	0.00114198964403938	0.00010720103525927
0.23	47	0.00195315948545692	1.4520942740434e-06	0.000386195285649839	0.000213921292627159	0.000429613205757169	0	0.000280198582769242	0.000506028315956289	0.000318783413173176	0.000166770158494619	5.47779393165732e-05	0.00280198582769242	0.0197351043222953	0.00414418437125129	0.00116739110946233	0.000109555878633146
0.235	47	0.00200105418752245	1.486690801814e-06	0.000395396094447658	0.000218717522322188	0.000439941180212965	0	0.000286671944652763	0.0005181535145229	0.000326539103591228	0.00017039103362918	5.59723271023376e-05	0.00286671944652763	0.0202079870663931	0.00424500834668596	0.00119273723540426	0.000111944654204675
0.24	47	0.00204929532394091	1.52147350486095e-06	0.000404647613386824	0.000223543303996113	0.000450327105396898	0	0.000293181470031366	0.000530347647708046	0.000334343180159027	0.000174026046995205	5.71685576507329e-05	0.00293181470031366	0.0206835582606138	0.00434646134206735	0.00121818232896644	0.000114337115301466
0.245	47	0.00209788563776006	1.55644238318426e-06	0.000413948684178567	0.000228366524988057	0.000460776540303956	0	0.000299697948251438	0.000542612496889847	0.000342203345314961	0.000177647318939064	5.83665893694099e-05	0.00299697948251438	0.021161887378704	0.00444864348909449	0.00124353123257345	0.00011673317873882
0.25	47	0.00214679403201951	1.59159743678393e-06	0.000423295497445261	0.000233185956376471	0.000471286270808884	0	0.000306247051479903	0.00055494305107217	0.000350101942882482	0.000181272788917114	5.95494487783944e-05	0.00306247051479903	0.0216427789918146	0.00455132525747227	0.0012689095224198	0.000119098897556789
0.255	47	0.00219602104147802	1.62693866565995e-06	0.000432697319025872	0.000238034973072567	0.000481855005385867	0	0.000312818766546859	0.000567348039673668	0.000358064969310351	0.000184897376015275	6.07505820900683e-05	0.00312818766546859	0.022126573547273	0.00465484460103456	0.00129428163210693	0.000121501164180137
0.26	47	0.00224560257251287	1.66246606981232e-06	0.000442146115623527	0.000242896904285132	0.000492484345774144	0	0.000319412789438707	0.000579818826277544	0.000366071763500196	0.000188530726640419	6.19357040051356e-05	0.00319412789438707	0.0226129342248242	0.00475893292550254	0.00131971508648293	0.000123871408010271
0.265	47	0.00229550530799111	1.69817964924105e-06	0.000451644427021369	0.000247753571379699	0.000503177549601216	0	0.000326036040061522	0.000592358969661367	0.000374130377682466	0.000192152382377801	6.31216988771088e-05	0.00326036040061522	0.0231019998167933	0.00486369490987206	0.00134506667664461	0.000126243397754218
0.27	47	0.00234572979455505	1.73407940394613e-06	0.000461190869645406	0.000252622163379131	0.000513931408174426	0	0.000332681288881742	0.000604968556004401	0.000382238213097985	0.000195771766871645	6.43085191718746e-05	0.00332681288881742	0.0235937736841717	0.00496909677027381	0.00137040236810151	0.000128617038343749
0.275	47	0.00239631424193918	1.77016533392757e-06	0.000470789594217616	0.000257502561448145	0.000524745097299284	0	0.000339344460823136	0.000617647672095321	0.000390398230895921	0.000199404551491458	6.55149489014257e-05	0.00339344460823136	0.0240882592117175	0.00507517700164697	0.0013958318604402	0.000131029897802851
0.28	48	0.00238697	3.8e-08	0.000481011696202532	0.000271434	0.000530535829380176	0	0.000367992	0.000622644615384616	0.000389578923076923	0.000158242857142857	0.00023294	0.00367992	0.02428314	0.005064526	0.0011077	0.00046588
0.285	48	0.002262634	2.28e-06	0.000481012658227848	0.000323114	0.000527724220799883	1	0.000433713	0.000609481025641026	0.000371236615384615	0.000128874285714286	0.000296526666666667	0.00433713	0.02376976	0.004826076	0.00090212	0.00088958
0.29	48	0.002358052	2.508e-06	0.000481011696202532	0.000328662	0.000527779412297832	1	0.0004785796	0.000597766307692308	0.000361646	0.000132495142857143	0.000352234666666667	0.004785796	0.023312886	0.004701398	0.000927466	0.001056704
0.295	48	0.002631994	2.812e-06	0.000481014101265823	0.000320758	0.000531423520480595	1	0.0005338582	0.000583378923076923	0.000350102769230769	0.000136126857142857	0.000421293333333333	0.005338582	0.022751778	0.004551336	0.000952888	0.00126388
0.3	48	0.00290434	3.116e-06	0.00048101217721519	0.000312854	0.000538697555371471	1	0.00058881	0.000569071435897436	0.000338609230769231	0.000139747714285714	0.000489934	0.0058881	0.022193786	0.00440192	0.000978234	0.001469802
0.305	48	0.003175052	3.382e-06	0.000481011696202532	0.000307116	0.000549392048653604	1	0.0006434312	0.000554850666666666	0.00032718	0.000143374	0.000558156666666667	0.006434312	0.021639176	0.00425334	0.001003618	0.00167447
0.31	48	0.003444168	3.686e-06	0.000481013139240507	0.000299288	0.000563249112253201	1	0.0006977332	0.000540711743589744	0.000315818	0.000146994857142857	0.000625974	0.006977332	0.021087758	0.004105634	0.001028964	0.001877922
