ProteinId	GeneSymbol	glucose
YOR205C	GEP3	2430.64
YBR110W	ALG1	4124.43
YOR251C	TUM1	5916.72
YAL049C	AIM2	5700.21
YDR065W	RRG1	724.581
YFL045C	SEC53	21480.8
YGL067W	NPY1	2452.05
YDL236W	PHO13	7367.69
YJL103C	GSM1	569.787
YKL059C	MPE1	3889.07
YOL154W	ZPS1	210.762
YBR257W	POP4	2098.15
YBR088C	POL30	15169.8
YGR166W	TRS65	2024.76
YDL166C	FAP7	3804.77
YER158C	YER158C	62.7143
YLR014C	PPR1	980.663
YLR199C	PBA1	4658.53
YMR267W	PPA2	2442.74
YER111C	SWI4	4436.99
YNL330C	RPD3	4048.5
YPL015C	HST2	1659.2
YCR083W	TRX3	2685.29
YOL142W	RRP40	2814.46
YGL019W	CKB1	2363.1
YMR134W	YMR134W	3513.86
YML035C	AMD1	11230.3
YDR370C	YDR370C	1283.03
YLR438C-A	LSM3	996.124
YDR152W	GIR2	6967.05
YLR403W	SFP1	1843.52
YPL100W	ATG21	2012.6
YGL200C	EMP24	2191.2
YPR129W	SCD6	6681.41
YIR032C	DAL3	280.331
YML097C	VPS9	3372.78
YEL020W-A	TIM9	1258.85
YMR282C	AEP2	3222.7
YHR089C	GAR1	6241.51
YPR068C	HOS1	1058.88
YHR057C	CPR2	1194.82
YIR018W	YAP5	256.396
YNL180C	RHO5	4564.84
YFL017C	GNA1	4736.83
YCL033C	MXR2	1147.42
YHR074W	QNS1	8105.92
YGR268C	HUA1	755.645
YJR074W	MOG1	3363.34
YDL216C	RRI1	200.683
YOL001W	PHO80	559.664
YMR155W	YMR155W	390.59
YJL036W	SNX4	4807.91
YMR208W	ERG12	6583.34
YAL055W	PEX22	791.321
YHR005C-A	TIM10	2294.19
YDL197C	ASF2	2152.8
YBR091C	TIM12	968.84
YDR478W	SNM1	285.94
YFL009W	CDC4	2289.32
YNL027W	CRZ1	3592.51
YBR261C	TAE1	2721.62
YOR061W	CKA2	7595.61
YBR069C	TAT1	5625.2
YMR002W	MIC17	1464.55
YJR127C	RSF2	2666.63
YPL144W	POC4	832.777
YNL108C	YNL108C	3734.64
YGR001C	YGR001C	9717.9
YJR102C	VPS25	310.465
YGR181W	TIM13	3139.9
YMR009W	ADI1	1641.64
YGL095C	VPS45	5255.67
YDR296W	MHR1	1983.77
YIL122W	POG1	460.43
YOL022C	TSR4	15565.1
YLR011W	LOT6	1256.39
YGR260W	TNA1	2427.31
YMR154C	RIM13	1151.63
YPR131C	NAT3	1155.35
YJL030W	MAD2	3821.85
YLR439W	MRPL4	1493.77
YHR151C	MTC6	650.517
YKL156W	RPS27A	14.3672
YHR021C	RPS27B	8262
YPR094W	RDS3	1156.31
YGR044C	RME1	443.517
YIL046W	MET30	1418.89
YKL087C	CYT2	1409.98
YDL015C	TSC13	3702.16
YDR255C	RMD5	1809.92
YER050C	RSM18	1700.35
YHR201C	PPX1	8342.4
YNR036C	MRPS12	721.989
YJL204C	RCY1	8196.16
YAL020C	ATS1	1434.93
YML058W	SML1	2242.62
YCL038C	ATG22	478.306
YOL003C	PFA4	609.118
YHR160C	PEX18	45.7826
YDR182W	CDC1	1856.84
YDR013W	PSF1	824.067
YDR183W	PLP1	2054.64
YOR289W	YOR289W	1145.4
YER087W	AIM10	4806.34
YCR052W	RSC6	5562.61
YBR246W	RRT2	3287.94
YCL009C	ILV6	4945.81
YNL168C	FMP41	3319.4
YPL172C	COX10	224.774
YMR113W	FOL3	3120.98
YHR121W	LSM12	5961.27
YOL114C	YOL114C	23.5264
YKL175W	ZRT3	665.068
YMR164C	MSS11	500.471
YGL084C	GUP1	1952.69
YDR003W	RCR2	600.273
YJR135W-A	TIM8	581.178
YPL168W	YPL168W	1674.71
YBR273C	UBX7	3653.69
YPL054W	LEE1	66.5029
YOR143C	THI80	3262.51
YLR038C	COX12	375.842
YLR408C	BLS1	379.571
YLR229C	CDC42	938.795
YDR462W	MRPL28	1590.19
YLR363C	NMD4	770.154
YDR051C	DET1	4412.45
YKL173W	SNU114	10572.1
YGL220W	FRA2	773.929
YGL061C	DUO1	1840.27
YOL133W	HRT1	1184.09
YHR076W	PTC7	5361.73
YKL206C	ADD66	5098.71
YKL140W	TGL1	3829.76
YOR020C	HSP10	8058.33
YGL125W	MET13	6890.12
YKL021C	MAK11	10013.8
YOR273C	TPO4	1718.85
YNL274C	GOR1	2156.77
YML052W	SUR7	1241.27
YMR319C	FET4	178.172
YDR064W	RPS13	11653.5
YNL153C	GIM3	827.579
YPL051W	ARL3	2496.56
YMR202W	ERG2	1601.76
YKL154W	SRP102	1859.15
YDL033C	SLM3	1092.77
YOR181W	LAS17	1824.68
YLR337C	VRP1	6420.31
YER014W	HEM14	5521.83
YMR285C	NGL2	4323.05
YNR067C	DSE4	4412.96
YDR489W	SLD5	2288.65
YIL034C	CAP2	5271
YDR121W	DPB4	3803.6
YNL253W	TEX1	2605.84
YMR182C	RGM1	76.5009
YCR065W	HCM1	2268.49
YDR511W	ACN9	663.881
YBR268W	MRPL37	961.561
YFR011C	AIM13	2320.64
YDR460W	TFB3	4176.63
YER074W	RPS24A	31547.2
YDR167W	TAF10	1570.09
YKR065C	PAM17	1171.09
YHR169W	DBP8	7550.52
YJR043C	POL32	4195.83
YGL070C	RPB9	1347.63
YEL019C	MMS21	904.238
YOR025W	HST3	541.567
YER094C	PUP3	895.36
YFR021W	ATG18	2449.5
YDR465C	RMT2	8215.71
YLR066W	SPC3	2458.17
YHR149C	SKG6	5467.97
YNL281W	HCH1	6719.9
YJR149W	YJR149W	829.891
YLR456W	YLR456W	471.816
YOR236W	DFR1	4631.05
YOR067C	ALG8	1698.27
YGR158C	MTR3	5058.4
YDR379W	RGA2	4995.16
YPL259C	APM1	4606.44
YGR120C	COG2	3360.16
YGL111W	NSA1	8500.22
YLR257W	YLR257W	5033.24
YKL085W	MDH1	4607.22
YPL229W	YPL229W	211.11
YDL046W	NPC2	1635.72
YMR015C	ERG5	14084.1
YDR244W	PEX5	4068.1
YLL010C	PSR1	2335.55
YLR019W	PSR2	548.962
YMR175W	SIP18	854.41
YAL009W	SPO7	1462.57
YJL203W	PRP21	3743.82
YBL010C	YBL010C	2721.39
YGL045W	RIM8	1261.83
YJR075W	HOC1	3855.82
YHR146W	CRP1	14829.3
YIL151C	YIL151C	2618.45
YBR270C	BIT2	430.707
YDR367W	KEI1	664.458
YFR008W	FAR7	951.445
YCL061C	MRC1	4775.38
YMR119W	ASI1	2039.24
YNL308C	KRI1	13686.8
YPL211W	NIP7	7837.72
YLR079W	SIC1	1012.15
YEL006W	YEA6	221.969
YPL257W	YPL257W	203.168
YNL111C	CYB5	3707.95
YNR004W	SWM2	542.386
YLR088W	GAA1	1888.48
YGL025C	PGD1	1481.47
YGL147C	RPL9A	41776
YNL067W	RPL9B	5823.18
YNL320W	YNL320W	1942.48
YDL099W	BUG1	3945.94
YOR022C	YOR022C	2814.3
YMR100W	MUB1	1132.26
YGL027C	CWH41	15573.1
YGR093W	YGR093W	4319.19
YGR113W	DAM1	1039.47
YPR075C	OPY2	672.267
YKL071W	YKL071W	174.281
YER113C	TMN3	1811.16
YER016W	BIM1	4652.52
YNL158W	PGA1	1860.27
YDR517W	GRH1	2504.86
YPL233W	NSL1	2658.09
YDL149W	ATG9	1686.32
YNL244C	SUI1	7251.47
YKR063C	LAS1	2753.05
YBR252W	DUT1	7330.5
YOR232W	MGE1	8807.21
YBL036C	YBL036C	11261.6
YLR195C	NMT1	10321.7
YBR197C	YBR197C	1730.23
YGR015C	YGR015C	483.785
YGR074W	SMD1	3428.97
YPL138C	SPP1	3593.19
YBR259W	YBR259W	481.001
YGL255W	ZRT1	2664.09
YGR017W	YGR017W	3953.3
YJR044C	VPS55	511.47
YGR110W	CLD1	287.509
YMR293C	HER2	1347.88
YOR070C	GYP1	2342.89
YER046W	SPO73	530.719
YMR156C	TPP1	1450.26
YJR100C	AIM25	1331.06
YDR379C-A	YDR379C-A	321.362
YPL152W	RRD2	1510.87
YPL245W	YPL245W	6440.05
YDL133W	SRF1	1801.09
YNL249C	MPA43	2655.29
YIR016W	YIR016W	26.7714
YDL105W	NSE4	1036.02
YHR142W	CHS7	466.379
YBR282W	MRPL27	1186.46
YDL065C	PEX19	6382.63
YBR085C-A	YBR085C-A	1993.79
YNL230C	ELA1	604.02
YJL116C	NCA3	207.135
YKR042W	UTH1	1640.04
YDR453C	TSA2	3690.16
YML028W	TSA1	22890.5
YER071C	TDA2	559.98
YJL216C	IMA5	103.105
YER079W	YER079W	1136.06
YBR111C	YSA1	7194.21
YKL100C	YKL100C	2858.63
YOR212W	STE4	2716.76
YJL051W	IRC8	295.145
YNL151C	RPC31	1848.97
YJL184W	GON7	409.027
YKL096W	CWP1	1328.52
YDR056C	YDR056C	5143.45
YBL087C	RPL23A	17831.2
YJL001W	PRE3	6696.3
YLR395C	COX8	32.2429
YGR203W	YCH1	1726.18
YMR284W	YKU70	1248.03
YMR271C	URA10	256.119
YML106W	URA5	10785.8
YGL136C	MRM2	1870.49
YML011C	RAD33	1584.19
YDR424C	DYN2	2652.11
YOR253W	NAT5	1493.33
YBR223C	TDP1	908.326
YCL016C	DCC1	1162.53
YPL149W	ATG5	1046.02
YDR347W	MRP1	4784.67
YKL176C	LST4	1285.98
YLR417W	VPS36	2938.92
YBR211C	AME1	1828.85
YDR448W	ADA2	3182.93
YPR124W	CTR1	1038.39
YCL067C	HMLALPHA2	2487.77
YPR042C	PUF2	4063.24
YJR091C	JSN1	4543.07
YDR503C	LPP1	454.148
YNL072W	RNH201	2726
YCR051W	YCR051W	5052.25
YKL007W	CAP1	5565.33
YPR183W	DPM1	8243.67
YHR127W	YHR127W	4557.22
YJL218W	YJL218W	462.882
YDR415C	YDR415C	2897.48
YGL221C	NIF3	4538.82
YDL213C	NOP6	7770.8
YBR195C	MSI1	2603.76
YJR065C	ARP3	4795.97
YOR276W	CAF20	3087.73
Q0275	COX3	31.8905
YKR007W	MEH1	993.119
YHR034C	PIH1	1723.68
YKL106W	AAT1	4979.06
YBR262C	AIM5	510.031
YFR017C	IGD1	186.152
YER175C	TMT1	641.598
YMR132C	JLP2	1816.37
YNL325C	FIG4	1937
YIL090W	ICE2	912.36
YFR003C	YPI1	1282.92
YJL151C	SNA3	312.69
YBR094W	PBY1	8903.97
YDR066C	RTR2	640.211
YPL003W	ULA1	757.594
YKL117W	SBA1	7021.34
YJL004C	SYS1	986.089
YJR112W	NNF1	1573.32
YLR047C	FRE8	593.142
YJR141W	YJR141W	285.714
YPL026C	SKS1	658.105
YOL030W	GAS5	2747.46
YMR058W	FET3	2523.23
YCL035C	GRX1	4763.12
YGL203C	KEX1	9350.26
YDR481C	PHO8	3200.22
YNL149C	PGA2	2730.51
YLR392C	ART10	1051.51
YDL129W	YDL129W	370.184
YER183C	FAU1	1440.06
YHR079C	IRE1	2199.93
YGR206W	MVB12	1393.98
YGR212W	SLI1	1573.79
YJR057W	CDC8	2779.3
YNR019W	ARE2	4195.67
YOL044W	PEX15	834.07
YGR257C	MTM1	352.836
YNL113W	RPC19	2198.04
YLR190W	MMR1	2935.3
YDR219C	MFB1	1534.56
YPL213W	LEA1	884.614
YKL181W	PRS1	9567.67
YDR022C	CIS1	770.433
YDR362C	TFC6	1773.15
YLR091W	GEP5	973.653
YCR086W	CSM1	1965.55
YML113W	DAT1	579.098
YPR048W	TAH18	6601.91
YJR058C	APS2	518.57
YBR187W	GDT1	2439.31
YDR044W	HEM13	4346.36
YGR058W	PEF1	1378.89
YBR153W	RIB7	1445.5
YCL049C	YCL049C	415.714
YJR073C	OPI3	563.702
YJL148W	RPA34	5853.24
YOL002C	IZH2	3972.88
YBR168W	PEX32	130.988
YPR139C	VPS66	4157.15
YLL006W	MMM1	2239.38
YJR147W	HMS2	1361.62
YGR112W	SHY1	1320.59
YCR027C	RHB1	544.165
YBR109C	CMD1	2668.11
YGL060W	YBP2	4108.93
YNL288W	CAF40	1863.98
YKR019C	IRS4	1046.64
YJL083W	TAX4	355.653
YML014W	TRM9	5972.14
YER092W	IES5	814.264
YLR312W-A	MRPL15	1931.96
YLR326W	YLR326W	2010.32
YOR036W	PEP12	1514.93
YOR052C	YOR052C	1392.33
YOL096C	COQ3	1098.2
YJR024C	MDE1	4832.42
YKL051W	SFK1	1133.97
YBR194W	AIM4	784.878
YDR246W	TRS23	2878.42
YLR385C	SWC7	1225.43
YJL117W	PHO86	3662.62
YER034W	YER034W	969.195
YOR265W	RBL2	5812.49
YBR188C	NTC20	574.742
YBR256C	RIB5	1610.22
YAR008W	SEN34	756.69
YML055W	SPC2	2438.2
YPL002C	SNF8	1059.38
YPL199C	YPL199C	7305.2
YBL031W	SHE1	125.285
YAL042W	ERV46	7369.04
YPL108W	YPL108W	1780.2
YNL156C	NSG2	1253.46
YFR043C	IRC6	613.866
YEL015W	EDC3	5334.71
YBR082C	UBC4	3240.48
YDR059C	UBC5	211.279
YOR134W	BAG7	370.952
YDR482C	CWC21	1445.59
YNL056W	OCA2	1344.46
YLR178C	TFS1	1039.22
YNL166C	BNI5	8005.5
YBR291C	CTP1	1235.2
YBL041W	PRE7	3406.52
YDR158W	HOM2	19946.4
YMR238W	DFG5	2514.13
YDL170W	UGA3	1600.16
YIL118W	RHO3	4068.01
YNL090W	RHO2	1576.71
YJL025W	RRN7	86.3657
YDR084C	TVP23	898.305
YOR340C	RPA43	8380.8
YDR005C	MAF1	1344.44
YOL070C	NBA1	8807.4
YHR002W	LEU5	782.27
YPL055C	LGE1	2753.28
YEL038W	UTR4	3665.97
YGL110C	CUE3	4042.83
YAL041W	CDC24	5786.14
YKL190W	CNB1	3388.84
YLR021W	IRC25	2122.46
YGL142C	GPI10	1066.64
YOR352W	YOR352W	1789.23
YLL009C	COX17	377.109
YKL195W	MIA40	5689.09
YDL189W	RBS1	4481.07
YDL121C	YDL121C	6276.77
YDR493W	MZM1	703.79
YHR101C	BIG1	1482.18
YOR023C	AHC1	2488.32
YCR061W	YCR061W	359.712
YPR016C	TIF6	4520.78
YGR009C	SEC9	6532.93
YBR171W	SEC66	3790.62
YMR311C	GLC8	4910.14
YGL066W	SGF73	4239.3
YLR283W	YLR283W	591.891
YDL176W	YDL176W	516.512
YER002W	NOP16	8420.6
YDR541C	YDR541C	215.148
YGR277C	CAB4	5063.49
YDR468C	TLG1	3307.42
YBL014C	RRN6	1013.68
YKL052C	ASK1	1287.1
YKL084W	HOT13	1263.69
YLR147C	SMD3	678.125
YPL218W	SAR1	11305.9
YGL121C	GPG1	84.7044
YIL103W	DPH1	3734.21
YDR322C-A	TIM11	1772.23
YMR312W	ELP6	1697.28
YGL198W	YIP4	546.105
YGL012W	ERG4	5927.82
YDL090C	RAM1	2517.62
YGL018C	JAC1	1319.36
YHR046C	INM1	6178.8
YPL246C	RBD2	2462.72
YOL010W	RCL1	4846.1
YML006C	GIS4	969.302
YKL060C	FBA1	75806.5
YPL148C	PPT2	242.213
YBR062C	YBR062C	451.662
YNR009W	NRM1	451.25
YBR130C	SHE3	5640.5
YBR022W	POA1	712.934
YDR357C	CNL1	1614.48
YDL212W	SHR3	1014.01
YMR194C-B	CMC4	60.3045
YPL187W	MF(ALPHA)1	5375.18
YGL089C	MF(ALPHA)2	1350.38
YBR014C	GRX7	2872.19
YDL200C	MGT1	332.996
YNL147W	LSM7	1301.98
YDR451C	YHP1	669.331
YDL119C	YDL119C	1087.26
YIL158W	AIM20	24.1051
YCL029C	BIK1	4049.81
YOR297C	TIM18	594.101
YJL124C	LSM1	3371.53
YNL199C	GCR2	1287.97
YGL145W	TIP20	7724.44
YBR029C	CDS1	6466.72
YOR016C	ERP4	2143.83
YAL007C	ERP2	3796.52
YDR275W	BSC2	653.477
YGL240W	DOC1	1036.11
YDL088C	ASM4	2818.05
YHR178W	STB5	574.748
YBL071W-A	KTI11	84.4396
YDR144C	MKC7	905.484
YNL214W	PEX17	1061.15
YNL211C	YNL211C	392.504
YER083C	GET2	2200.04
YDL051W	LHP1	9311.49
YLR078C	BOS1	3518.94
YCL008C	STP22	1425.91
YER012W	PRE1	7031.75
YDL130W-A	STF1	744.348
YMR269W	TMA23	2190.48
YMR221C	YMR221C	2597.82
YIR017C	MET28	152.617
YCL051W	LRE1	1521.27
YKL054C	DEF1	7958.28
YJL031C	BET4	2556.67
YLL036C	PRP19	2862.36
YNL003C	PET8	745.552
YCL055W	KAR4	1300.49
YDL073W	YDL073W	5702.2
YPL124W	SPC29	1423.18
YOR360C	PDE2	1647.77
YKL214C	YRA2	1853.75
YNL188W	KAR1	968.882
YJR076C	CDC11	3650.46
YGL247W	BRR6	387.222
YER120W	SCS2	14028.3
YLR306W	UBC12	1373.25
YPL156C	PRM4	670.321
YGL101W	YGL101W	6921.81
YKL018W	SWD2	2639.07
YBL005W	PDR3	998.638
YBL090W	MRP21	886.884
YHR011W	DIA4	2072.43
YER093C-A	AIM11	430.696
YDL089W	NUR1	2030.75
YOR193W	PEX27	711.614
YGR047C	TFC4	7150.44
YJR004C	SAG1	3432.15
YJR142W	YJR142W	3561.32
YER159C	BUR6	1792.03
YNL293W	MSB3	1140.39
YLR348C	DIC1	4906.67
YMR107W	SPG4	394.8
YDL076C	RXT3	913.112
YKR002W	PAP1	8345.33
YNR022C	MRPL50	2443.66
YNL053W	MSG5	736.281
YLL031C	GPI13	2206.97
YPR005C	HAL1	252.978
YMR026C	PEX12	1978.2
YBL064C	PRX1	1226.48
YER163C	YER163C	1805.52
YLR288C	MEC3	1063.98
YAL058W	CNE1	3412.01
YKL113C	RAD27	6102.85
YER029C	SMB1	4666.25
YPL071C	YPL071C	227.573
YPL077C	YPL077C	734.537
YOL137W	BSC6	1137.99
YML108W	YML108W	2460.08
YHR050W	SMF2	1037.36
YBR104W	YMC2	1321.06
YPL067C	YPL067C	1998.56
YGR005C	TFG2	8395.32
YOR228C	YOR228C	222.798
YOL071W	EMI5	675.043
YPL206C	PGC1	3455.45
YBR242W	YBR242W	2422.98
YNR052C	POP2	2098.39
YDR067C	OCA6	1126.55
YMR294W	JNM1	3088.16
YIL040W	APQ12	334.35
YPL129W	TAF14	5440.46
YPR017C	DSS4	1267.64
YGR129W	SYF2	1158.88
YDR139C	RUB1	3204.19
YLR325C	RPL38	11144.8
YIR022W	SEC11	1729.12
YGR174C	CBP4	1046.23
YGL115W	SNF4	5147.38
YEL051W	VMA8	9249.02
YMR044W	IOC4	2204.19
YHL015W	RPS20	30310.3
YLR281C	YLR281C	95.5182
YDL180W	YDL180W	453.116
YMR014W	BUD22	4400.84
YJL161W	FMP33	178.788
YOR172W	YRM1	537.677
YNL103W	MET4	2087.88
YDL086W	YDL086W	2605.44
YOR286W	RDL2	2286.23
YPL181W	CTI6	2228.76
YGR222W	PET54	2082.81
YLR286C	CTS1	1657.18
YNL309W	STB1	2408.59
YLR001C	YLR001C	810.574
YBR164C	ARL1	2550.55
YGR104C	SRB5	1109.5
YDL146W	LDB17	603.234
YKL138C-A	HSK3	751.033
YIL055C	YIL055C	774.725
YNL206C	RTT106	3718.96
YNR030W	ALG12	3359.96
YBR052C	RFS1	3584.01
YDR349C	YPS7	576.382
YOR305W	RRG7	1339.49
YLR211C	YLR211C	947.027
YOR266W	PNT1	1458.77
YMR068W	AVO2	530.924
YDR352W	YDR352W	271.288
YJL185C	YJL185C	60.0179
YLR018C	POM34	3818.23
YDL069C	CBS1	356.093
YJR094W-A	RPL43B	20242.6
YGR247W	CPD1	605.903
YOR390W	YOR390W	286.698
YKL028W	TFA1	4673.21
YJL182C	YJL182C	46.7969
YIL076W	SEC28	3793.23
YEL001C	IRC22	4908.53
YLR264W	RPS28B	9874.28
YJL173C	RFA3	824.582
YOR111W	YOR111W	2133.56
YBR137W	YBR137W	1830.54
YGL170C	SPO74	16.4631
YJR013W	GPI14	1056.97
YHR152W	SPO12	87.2359
YHR105W	YPT35	699.176
YEL024W	RIP1	1526.13
YIL070C	MAM33	621.656
YML095C	RAD10	500.391
YKL138C	MRPL31	1592.52
YOR136W	IDH2	4166.31
YGR036C	CAX4	128.139
YDL005C	MED2	1390.79
YOR189W	IES4	3456.7
YDL227C	HO	675.986
YJL048C	UBX6	366.719
YOL007C	CSI2	518.901
YLR224W	YLR224W	461.332
YGL242C	YGL242C	1298.81
YGR080W	TWF1	3942.7
YOL038W	PRE6	4871.3
YER032W	FIR1	1583.56
YPR168W	NUT2	1391.9
YDR449C	UTP6	12297.7
YIL120W	QDR1	30.1033
YDR070C	FMP16	34.8625
YDL233W	YDL233W	114.016
YGR060W	ERG25	2317.3
YNL100W	AIM37	1264.67
YBR126W-A	YBR126W-A	886.503
YAL022C	FUN26	1462.61
YNL215W	IES2	6156.94
YFR050C	PRE4	4257.28
YBR185C	MBA1	1412.99
YLR372W	SUR4	2602.69
YKR075C	YKR075C	832.669
YPR007C	REC8	182.452
YLR201C	COQ9	1865.98
YCL032W	STE50	631.102
YLR356W	ATG33	456.913
YGR106C	VOA1	1918.72
YIL138C	TPM2	1858.77
YBR002C	RER2	2584.99
YBR010W	HHT1	7963.25
YNL026W	SAM50	4945.41
YLR082C	SRL2	1920.72
YDR338C	YDR338C	620.585
YGL185C	YGL185C	4940.43
YPR063C	YPR063C	1870.24
YGL077C	HNM1	3650.65
YAR033W	MST28	993.162
YIL088C	AVT7	1291.19
YLR172C	DPH5	10409.9
YBL050W	SEC17	6173.46
YNL016W	PUB1	7434.37
YBR287W	YBR287W	1863.91
YPR083W	MDM36	1005.95
YMR052W	FAR3	1516.4
YKL005C	BYE1	4909.17
YDL097C	RPN6	10208.7
YFR049W	YMR31	1662.59
YLR093C	NYV1	3132.7
YMR274C	RCE1	229.909
YOR204W	DED1	27617.5
YNL112W	DBP2	41688.5
YPL119C	DBP1	1118.89
YPR100W	MRPL51	968.051
YGL216W	KIP3	2816.24
YLL022C	HIF1	3008.4
YOR307C	SLY41	2398.66
YOL088C	MPD2	6394.8
YPL173W	MRPL40	3574.14
YDR145W	TAF12	7958.58
YDR172W	SUP35	32411.1
YGL250W	RMR1	898.772
YNL280C	ERG24	1933.25
YDR023W	SES1	46364.4
YMR260C	TIF11	16692.1
YDL100C	GET3	11284.9
YGL091C	NBP35	3423.06
YNR053C	NOG2	16101.5
YNL306W	MRPS18	3504.84
YCR097W	HMRA1	402.164
YKL009W	MRT4	10755.5
YLR138W	NHA1	5751.66
YKR074W	AIM29	4833.83
YIL085C	KTR7	2158.18
YNL029C	KTR5	1485.4
YML008C	ERG6	20647.8
YMR106C	YKU80	2256.42
YEL003W	GIM4	10412.8
YHR032W	ERC1	257.418
YBL038W	MRPL16	1488.15
YHR023W	MYO1	21976.4
YDL156W	YDL156W	2908.64
YBR214W	SDS24	1595.83
YOL066C	RIB2	4790.92
YPL107W	YPL107W	395.38
YKL124W	SSH4	1026.82
YDR288W	NSE3	2844.69
YOR388C	FDH1	2099.72
YEL037C	RAD23	6859.91
YNR031C	SSK2	7730.27
YMR276W	DSK2	4524.1
YOR281C	PLP2	7214.52
YOR354C	MSC6	4633.37
YBR173C	UMP1	258.48
YBR105C	VID24	905.527
YKL074C	MUD2	3106.91
YNL268W	LYP1	2921.96
YBL007C	SLA1	16829.2
YMR310C	YMR310C	2413.59
YLR345W	YLR345W	2172.81
YDR046C	BAP3	1713.76
YNR007C	ATG3	928.959
YMR157C	AIM36	2004.63
YMR145C	NDE1	6364.31
YBR193C	MED8	1455.11
YML004C	GLO1	4160.18
YKL107W	YKL107W	1161.77
YMR035W	IMP2	291.654
YKL078W	DHR2	4588.09
YIL072W	HOP1	892.746
YOR201C	MRM1	1523.16
YDR079W	PET100	598.221
YKL047W	YKL047W	3555.53
YBL067C	UBP13	4736.17
YBL016W	FUS3	4249.38
YPL105C	SYH1	6250.33
YPL178W	CBC2	3014.92
YNR020C	ATP23	677.046
YDL178W	DLD2	5809.8
YHR039C	MSC7	9278.48
YMR105C	PGM2	2800.65
YDL031W	DBP10	18240.3
YLL013C	PUF3	9576.53
YJR113C	RSM7	3194.96
YLR276C	DBP9	14523.2
YDL013W	SLX5	1784.9
YMR074C	YMR074C	4398.22
YDR516C	EMI2	4272.01
YJR049C	UTR1	3221.16
YBR280C	SAF1	1796.77
YOL140W	ARG8	2534.25
YHR068W	DYS1	18794.7
YFL025C	BST1	2309.75
YGL234W	ADE5,7	22357.6
YNL101W	AVT4	678.03
YNR023W	SNF12	3150.48
YGR229C	SMI1	11161.3
YPR032W	SRO7	9290.68
YCR073C	SSK22	482.09
YKR060W	UTP30	5587.49
YDR181C	SAS4	2666.36
YGR192C	TDH3	187872
YJR009C	TDH2	3423.41
YJL052W	TDH1	2096.61
YFL030W	AGX1	1421.91
YPL215W	CBP3	4962.51
YCL011C	GBP2	9703.09
YBR160W	CDC28	5383.09
YER040W	GLN3	2662.31
YER068W	MOT2	11271.2
YOR164C	GET4	4142.75
YMR008C	PLB1	1311.77
YNR006W	VPS27	4036.44
YKL178C	STE3	2958.72
YML060W	OGG1	2747.32
YAL025C	MAK16	4698.43
YKR066C	CCP1	8306.91
YGL014W	PUF4	9513.26
YBL103C	RTG3	1045.57
YDR447C	RPS17B	33523.2
YDR341C	YDR341C	31329.1
YGL105W	ARC1	28690.8
YBR244W	GPX2	4498.15
YGL207W	SPT16	30039.3
YGR013W	SNU71	3449.71
YPL126W	NAN1	15726.1
YDR227W	SIR4	10584.1
YGL055W	OLE1	10923.4
YCL052C	PBN1	2074.79
YJR131W	MNS1	4102.57
YOR270C	VPH1	15441.4
YNR043W	MVD1	12364.6
YAL053W	FLC2	4739.65
YGL013C	PDR1	6191.98
YIR036C	IRC24	3906.74
YHR158C	KEL1	14959.6
YML120C	NDI1	1673.31
YGL008C	PMA1	85980.8
YPL036W	PMA2	1491.58
YLR422W	YLR422W	7244.56
YLR129W	DIP2	18315.1
YER143W	DDI1	3613.4
YBR097W	VPS15	5002.95
YGR246C	BRF1	3004.47
YBR248C	HIS7	16996
YPR001W	CIT3	1486.16
YHR183W	GND1	27623.3
YGR256W	GND2	9696.05
YML070W	DAK1	20038.8
YOR140W	SFL1	3713.73
YNL278W	CAF120	5379.91
YML032C	RAD52	3751.41
YDR532C	KRE28	2205.41
YKL129C	MYO3	13037.9
YOR299W	BUD7	2212.84
YOR108W	LEU9	11512.3
YDL044C	MTF2	3465.31
YDR484W	VPS52	4992.13
YJL130C	URA2	82549
YPL212C	PUS1	18215.1
YPR118W	MRI1	9355.51
YOL004W	SIN3	16438.9
YGR019W	UGA1	4441.66
YML057W	CMP2	4595.3
YLR433C	CNA1	5516.68
YCR077C	PAT1	11451.1
YHR019C	DED81	33716.7
YPL227C	ALG5	2328.41
YDL122W	UBP1	10754.9
YNL049C	SFB2	8877.35
YOR154W	SLP1	519.279
YMR090W	YMR090W	1033.27
YJL121C	RPE1	8292.07
YGL122C	NAB2	9973.47
YDR119W-A	YDR119W-A	163.489
YNR051C	BRE5	15417.8
YOR007C	SGT2	28147.8
YOL151W	GRE2	8910.04
YLL002W	RTT109	616.934
YBR218C	PYC2	25842.6
YGL062W	PYC1	4777.58
YDR394W	RPT3	11445
YPL085W	SEC16	32602.9
YHL001W	RPL14B	23523.9
YKL006W	RPL14A	756.117
YDL226C	GCS1	24307.7
YGR078C	PAC10	4007.66
YGL171W	ROK1	12616
YLR176C	RFX1	893.701
YLR389C	STE23	13584.8
YBL079W	NUP170	12551.6
YDR148C	KGD2	3998.91
YDR150W	NUM1	29504.4
YDR164C	SEC1	4668.96
YDR111C	ALT2	5142.72
YHR209W	CRG1	734.506
YGR218W	CRM1	22976.2
YLR024C	UBR2	5333.9
YGR056W	RSC1	7116.79
YPL231W	FAS2	114404
YAL029C	MYO4	12217.2
YBR155W	CNS1	9350.8
YLR419W	YLR419W	13892.6
YPL134C	ODC1	1256.54
