proteins	abundances
P38968	1.53844429118769e-06
P53090	4.66604874438992e-06
P15303	1.64088111099806e-06
P21264	2.9300535123042e-06
P53598	1.10575057843465e-05
P25443	1.56128171606014e-05
P00175	5.34750298939298e-06
P33327	4.64433979557773e-06
P38013	2.24685851395465e-05
P47912	2.63173767717359e-06
P32599	2.0678963916567e-06
P11412	4.18254676235825e-06
Q08911	9.14884482631685e-06
P33330	3.7484601975739e-06
P00958	1.57606161207045e-06
P33892	4.68856725696866e-07
P25491	5.09389002272394e-06
P54838	3.26174213810358e-06
(P0CX40-P0CX39)	2.86745205861612e-05
P38707	4.13775799676514e-06
P14065	3.57333566666181e-06
Q12458	6.222400737967e-07
P31373	1.14491281150027e-05
Q05050	3.21185009210077e-06
P22855	1.3984e-06
P15891	3.62357760871872e-06
Q12428	3.70066993461435e-06
P15624	2.46453655829244e-06
P43616	4.03853887515023e-06
P36060	8.21452022422565e-06
P39935	4.92342154999492e-06
P39936	3.56259917162653e-07
Q05911	4.47424120746592e-06
P05317	2.15227124179342e-05
Q07653	1.7466771471591e-06
P32481	3.97413743405926e-06
P31688	2.04265891831044e-06
P25605	4.84008815222918e-06
P32796	2.298e-06
Q05022	1.25117925916053e-06
P00950	6.1000314414773e-06
Q07551	4.64132654576855e-06
P28834	7.41380081349754e-06
P26321	2.00272895133075e-05
P36013	1.36001005918737e-06
P54839	5.21534036681064e-06
P41940	5.12972324850601e-06
P39078	3.55424720436419e-06
P47068	2.1714686030401e-06
Q06151	1.05521478493625e-06
Q12123	2.10254676235825e-06
P32074	3.43093576388339e-06
P28241	1.46764357546684e-05
P0C2H6	3.5178302032555e-05
P36112	1.96335117076807e-06
P40495	5.68784958011502e-06
P43567	6.15253172332199e-06
P32449	9.29034847348775e-06
P39940	1.50079737037535e-06
P32891	3.34420861057939e-06
Q07478	3.71557738522896e-06
P53549	1.40330775867859e-06
Q01939	1.46970417615839e-06
P38625	2.29981848362113e-06
P21801	4.88562350368594e-06
P34216	1.2443603584434e-06
P05737	9.54124207571213e-07
0	5.14773111449708e-07
P00724	3.50963696724227e-06
P39076	2.5209606428696e-06
P53278	1.66890875458369e-06
Q12449	4.90611508372947e-06
P53834	5.57692892710536e-07
P06103	2.13227124179342e-06
P41811	1.35261320715537e-06
P16603	2.93557542125035e-06
P00927	1.52001783743473e-06
P09733	1.92480392153722e-06
P09734	8.59728488375943e-07
P08524	1.11716989778886e-05
P28240	3.85433979557773e-06
P16387	5.13597747479068e-06
P38115	7.13424120746592e-06
P15625	2.14813464316486e-06
P38113	2.96437318107665e-05
P32473	1.32133760999819e-05
P00899	3.03412627425463e-06
P32614	2.96308089364777e-06
P47117	2.15609748336253e-06
P46680	1.84967185163849e-06
P10869	4.88996493230855e-06
Q12335	1.57213766997604e-05
P39516	1.5578963916567e-06
P06367	1.83413398692287e-06
P40217	3.00611876825092e-06
0	1.84616178729554e-05
P54885	2.41893790846009e-06
P38845	3.00779647107306e-06
P33734	2.84763737079845e-06
P36775	9.30956090257e-07
P32419	2.45173199129121e-06
P32558	1.36597352226714e-06
P40482	1.67882996598639e-06
Q00764	4.66228434088102e-06
P26786	2.9316e-06
P48164	1.19810137228614e-06
P40302	7.29635039620094e-06
P38077	3.48547385615156e-06
P04076	4.33307193027392e-06
P51401	8.08585884954282e-07
P05738	7.36025903543046e-07
P05150	4.86501397506753e-06
P00937	3.96960969862637e-06
P39079	1.42461504939347e-06
P31412	5.08793801315015e-06
P25623	1.48449210975965e-06
P43603	1.32991365971392e-06
P32793	6.6199103208541e-07
P26785	5.91153529595033e-06
P26784	3.38555508595361e-06
P29509	3.55310988360974e-06
P38816	1.30961456010934e-06
Q02326	2.82521430046274e-06
P05739	1.94820315771917e-06
Q03558	2.0229570331359e-06
P41816	4.11929912590929e-07
P41810	1.54746247340822e-06
Q08972	1.37912818151147e-06
P49723	8.76503345749233e-06
P02992	4.3503244346541e-06
P04046	2.33544816889961e-06
P02407	2.08008110866353e-05
Q03195	2.36878773226319e-06
P18544	3.12351649439793e-06
P07275	3.49174872235764e-06
P28274	1.19309131149485e-06
P38627	2.18653441799379e-07
P47143	5.25627300314314e-06
P27476	2.66212106559652e-06
P07560	2.83947712409925e-06
P01123	1.68277471489771e-06
P09232	4.82173090930199e-06
P54861	2.09051935027064e-06
P16649	2.28900590755405e-06
Q08977	2.14069224361158e-06
P46672	4.36480392153722e-06
P21243	4.53460039272106e-06
Q04869	6.49618039488439e-06
P05453	2.01793801315015e-06
P15703	1.61198450328754e-05
P07283	5.09009592364399e-06
P12695	3.71373757393124e-06
P38715	6.10018615718933e-06
P32497	1.06603133468102e-06
P46654	2.02620901275103e-05
P39077	2.76595350986261e-06
P32377	2.63406469969725e-06
Q04947	7.58531454939468e-06
P43593	1.71484735353278e-06
P00445	1.47261320715537e-05
P32288	4.33346766643859e-06
P35844	2.0294554508634e-06
Q02821	2.98981929383166e-06
P38754	2.2976e-06
P36105	6.40864938887626e-06
P40024	2.43767312891106e-06
P40215	2.35981929383166e-06
P04449	3.67979490554099e-06
P24000	1.16138470901742e-06
P38137	6.50313517994814e-06
P37302	6.18346398258242e-06
