GeneID	REF
Table S3. Quantitative proteome abundances in yeast under ten environmental conditions. For the description of conditions, please refer to Figure 1A in the main text.	NaN
	NaN
Gene ID	NaN
	NaN
YFR013W	NaN
YFR014C	232.6003396
YFR016C	86.65260411
YFR024C-A	1651.352886
YFR025C	NaN
YFR028C	180.720509
YFR029W	NaN
YFR030W	6371.6504
YFR033C	57.04293661
YFR037C	552.9829057
YFR039C	NaN
YFR040W	168.7986274
YFR041C	67.28033868
YFR044C	2443.825178
YFR047C	2550.582174
YFR050C	149.1006413
YFR051C	730.6066558
YFR052W	4292.392573
YFR053C	10608.40934
YGL001C	1085.132098
YGL005C	301.5957224
YGL006W	328.2168162
YGL009C	5511.943354
YGL011C	2675.744779
YGL012W	292.994177
YGL014W	53.03007783
YGL016W	NaN
YGL018C	281.0869029
YGL020C	NaN
YGL026C	6347.256992
YGL027C	97.36306424
YGL028C	NaN
YGL030W	3087.182224
YGL031C	19260.94684
YGL037C	15147.07745
YGL039W	62.10064169
YGL040C	4110.097367
YGL043W	1245.952128
YGL048C	1691.255872
YGL049C	42.55932588
YGL050W	285.989345
YGL054C	NaN
YGL056C	173.149439
YGL057C	NaN
YGL059W	93.90085982
YGL060W	NaN
YGL062W	7581.927536
YGL064C	NaN
YGL065C	218.6410591
YGL068W	4268.381982
YGL078C	710.3935634
YGL082W	108.3477212
YGL086W	NaN
YGL087C	2951.251695
YGL091C	NaN
YGL092W	269.5515211
YGL094C	12.89615814
YGL095C	18.119964
YGL097W	173.1311693
YGL098W	NaN
YGL099W	195.0686592
YGL101W	90.92944671
YGL103W	7545.730728
YGL105W	2870.937593
YGL106W	4796.923629
YGL107C	326.4192199
YGL111W	135.233343
YGL115W	678.0834922
YGL119W	113.4972743
YGL120C	255.5740163
YGL123W	55592.50178
YGL125W	805.6690955
YGL129C	19.56761972
YGL130W	212.1071022
YGL137W	720.3744946
YGL145W	23.95587983
YGL147C	45644.92823
YGL148W	2980.641188
YGL151W	NaN
YGL153W	476.0920597
YGL156W	64.67518319
YGL157W	253.1081174
YGL164C	129.8516691
YGL167C	191.9130427
YGL169W	27.21514534
YGL171W	NaN
YGL172W	227.3616741
YGL173C	180.4989917
YGL181W	NaN
YGL184C	521.1305818
YGL185C	134.5943966
YGL187C	28793.52685
YGL190C	321.14166
YGL191W	NaN
YGL195W	314.6640627
YGL200C	257.9122732
YGL201C	118.645675
YGL202W	4799.623414
YGL203C	NaN
YGL206C	2195.180033
YGL207W	727.5693673
YGL210W	874.9346136
YGL213C	147.5129766
YGL221C	459.7988847
YGL223C	69.86333195
YGL224C	190.1915859
YGL226C-A	NaN
YGL228W	494.5556774
YGL231C	43.23245776
YGL232W	117.0782149
YGL234W	7174.620915
YGL238W	248.4928042
YGL241W	144.8522302
YGL246C	NaN
YGL248W	608.107631
YGL252C	374.3589805
YGL253W	7746.303139
YGL256W	NaN
YGR001C	1001.98429
YGR002C	NaN
YGR003W	NaN
YGR005C	204.3893768
YGR006W	NaN
YGR012W	43.5086682
YGR019W	1075.296537
YGR020C	401.4084138
YGR021W	NaN
YGR026W	NaN
YGR028W	214.7837376
YGR030C	NaN
YGR034W	30592.45562
YGR037C	21722.35125
YGR040W	233.0441881
YGR043C	1517.195203
YGR048W	327.7677116
YGR054W	337.0449464
YGR060W	25718.6864
YGR061C	6861.778517
YGR078C	389.566177
YGR080W	1687.674108
YGR083C	513.4581765
YGR084C	326.9838295
YGR086C	15559.59292
YGR087C	NaN
YGR090W	163.4840508
YGR093W	NaN
YGR095C	289.6613061
YGR102C	294.8466807
YGR103W	278.0359536
YGR104C	NaN
YGR111W	141.5889181
